,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,cross_subject
163,0.4356060606060606,0.26136363636363635,1.9769518375396729,lew,500,80,7490,7,8,False,1.0,True
164,0.3924050632911392,0.26582278481012656,1.886967658996582,lew,500,80,7490,7,9,False,1.0,True
165,0.5457875457875457,0.4981684981684982,1.3562901020050049,lew,500,80,7490,8,1,False,1.0,True
166,0.6555555555555556,0.5777777777777777,1.8622894287109375,lew,500,80,7490,8,3,False,1.0,True
167,0.34686346863468637,0.24354243542435425,2.0939218997955322,lew,500,80,7490,8,7,False,1.0,True
168,1.0,1.0,0.0,lew,500,80,7490,8,8,False,1.0,True
169,0.4936708860759494,0.39662447257383965,1.1368863582611084,lew,500,80,7490,8,9,False,1.0,True
170,0.46153846153846156,0.2673992673992674,1.3305251598358154,lew,500,80,7490,9,1,False,1.0,True
171,0.48518518518518516,0.2851851851851852,1.8869683742523193,lew,500,80,7490,9,3,False,1.0,True
172,0.25461254612546125,0.24723247232472326,1.837329626083374,lew,500,80,7490,9,7,False,1.0,True
173,0.5265151515151515,0.3977272727272727,1.6576364040374756,lew,500,80,7490,9,8,False,1.0,True
174,1.0,1.0,0.0,lew,500,80,7490,9,9,False,1.0,True
175,1.0,1.0,0.0,lew,500,80,7066,1,1,False,1.0,True
176,0.662962962962963,0.5222222222222223,1.106931447982788,lew,500,80,7066,1,3,False,1.0,True
177,0.5571955719557196,0.5055350553505535,1.6061389446258545,lew,500,80,7066,1,7,False,1.0,True
178,0.5946969696969697,0.39015151515151514,1.9759485721588135,lew,500,80,7066,1,8,False,1.0,True
179,0.43037974683544306,0.26582278481012656,1.9104773998260498,lew,500,80,7066,1,9,False,1.0,True
180,0.673992673992674,0.3443223443223443,1.5979762077331543,lew,500,80,7066,3,1,False,1.0,True
181,1.0,1.0,0.0,lew,500,80,7066,3,3,False,1.0,True
182,0.6420664206642066,0.30996309963099633,1.4904870986938477,lew,500,80,7066,3,7,False,1.0,True
183,0.6931818181818182,0.4962121212121212,1.8698222637176514,lew,500,80,7066,3,8,False,1.0,True
184,0.45569620253164556,0.2742616033755274,1.8633601665496826,lew,500,80,7066,3,9,False,1.0,True
185,0.5714285714285714,0.5201465201465202,1.5497841835021973,lew,500,80,7066,7,1,False,1.0,True
186,0.6370370370370371,0.5333333333333333,1.59232759475708,lew,500,80,7066,7,3,False,1.0,True
187,1.0,1.0,0.0,lew,500,80,7066,7,7,False,1.0,True
188,0.4356060606060606,0.26136363636363635,1.3515911102294922,lew,500,80,7066,7,8,False,1.0,True
189,0.3924050632911392,0.26582278481012656,1.8833670616149902,lew,500,80,7066,7,9,False,1.0,True
190,0.5457875457875457,0.4981684981684982,1.9726223945617676,lew,500,80,7066,8,1,False,1.0,True
191,0.6555555555555556,0.5777777777777777,1.896427869796753,lew,500,80,7066,8,3,False,1.0,True
192,0.34686346863468637,0.24354243542435425,1.9939656257629395,lew,500,80,7066,8,7,False,1.0,True
193,1.0,1.0,0.0,lew,500,80,7066,8,8,False,1.0,True
194,0.4936708860759494,0.39662447257383965,1.6391956806182861,lew,500,80,7066,8,9,False,1.0,True
195,0.46153846153846156,0.2673992673992674,1.9109432697296143,lew,500,80,7066,9,1,False,1.0,True
196,0.48518518518518516,0.2851851851851852,1.8803505897521973,lew,500,80,7066,9,3,False,1.0,True
197,0.25461254612546125,0.24723247232472326,1.851994514465332,lew,500,80,7066,9,7,False,1.0,True
198,0.5265151515151515,0.3977272727272727,1.1808853149414062,lew,500,80,7066,9,8,False,1.0,True
199,1.0,1.0,0.0,lew,500,80,7066,9,9,False,1.0,True
200,1.0,1.0,0.0,lew,500,80,1884,1,1,False,1.0,True
201,0.662962962962963,0.5222222222222223,1.1635940074920654,lew,500,80,1884,1,3,False,1.0,True
202,0.5571955719557196,0.5055350553505535,1.6001408100128174,lew,500,80,1884,1,7,False,1.0,True
203,0.5946969696969697,0.39015151515151514,1.3708348274230957,lew,500,80,1884,1,8,False,1.0,True
204,0.43037974683544306,0.26582278481012656,1.3186390399932861,lew,500,80,1884,1,9,False,1.0,True
205,0.673992673992674,0.3443223443223443,1.621866226196289,lew,500,80,1884,3,1,False,1.0,True
206,1.0,1.0,0.0,lew,500,80,1884,3,3,False,1.0,True
207,0.6420664206642066,0.30996309963099633,1.614783525466919,lew,500,80,1884,3,7,False,1.0,True
208,0.6931818181818182,0.4962121212121212,1.8762903213500977,lew,500,80,1884,3,8,False,1.0,True
209,0.45569620253164556,0.2742616033755274,1.8403279781341553,lew,500,80,1884,3,9,False,1.0,True
210,0.5714285714285714,0.5201465201465202,1.542097568511963,lew,500,80,1884,7,1,False,1.0,True
211,0.6370370370370371,0.5333333333333333,1.597590684890747,lew,500,80,1884,7,3,False,1.0,True
212,1.0,1.0,0.0,lew,500,80,1884,7,7,False,1.0,True
213,0.4356060606060606,0.26136363636363635,1.9845316410064697,lew,500,80,1884,7,8,False,1.0,True
