,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,dataset,resample,epoch_tmin,epoch_tmax,cov_fs,cov_time_window,cross_subject,lr
149,0.525,0.515,2.256227493286133,spdsw,500,500,7490,1,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
150,0.6,0.5,2.277707815170288,spdsw,500,500,7490,1,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
151,0.565,0.5,2.3206684589385986,spdsw,500,500,7490,1,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
152,0.605,0.5,2.257512092590332,spdsw,500,500,7490,1,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
153,0.64,0.5,2.248920440673828,spdsw,500,500,7490,1,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
154,0.525,0.5,2.3195862770080566,spdsw,500,500,7490,1,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
155,0.525,0.5,2.2641196250915527,spdsw,500,500,7490,1,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
156,0.98,0.5,2.2674219608306885,spdsw,500,500,7490,2,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
157,1.0,1.0,0.0,spdsw,500,500,7490,2,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
158,0.805,0.64,2.2956902980804443,spdsw,500,500,7490,2,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
159,0.835,0.82,2.281559705734253,spdsw,500,500,7490,2,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
160,0.665,0.51,2.2399117946624756,spdsw,500,500,7490,2,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
161,0.585,0.5,2.277264356613159,spdsw,500,500,7490,2,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
162,0.63,0.605,3.7387704849243164,spdsw,500,500,7490,2,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
163,0.555,0.52,2.2641568183898926,spdsw,500,500,7490,2,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
164,0.58,0.575,2.28895902633667,spdsw,500,500,7490,2,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
